,TN,FP,FN,TP,Accuracy,Precision,Recall,Total_Actual_Neg,Total_Actual_Pos,Total_Pred_Neg,Total_Pred_Pos,TP_Rate,FP_Rate,TN_Rate,FN_Rate
0,8441.0,1045.0,319.0,3817.0,0.8998678608133901,0.7850678733031674,0.9228723404255319,9486.0,4136.0,8760.0,4862.0,0.9228723404255319,0.11016234450769555,0.8898376554923044,0.07712765957446809
1,8328.0,1158.0,284.0,3852.0,0.894141829393628,0.7688622754491018,0.9313346228239845,9486.0,4136.0,8612.0,5010.0,0.9313346228239845,0.12207463630613535,0.8779253636938646,0.06866537717601548
2,8314.0,1172.0,280.0,3856.0,0.8934077228013507,0.7669053301511536,0.9323017408123792,9486.0,4136.0,8594.0,5028.0,0.9323017408123792,0.123550495467004,0.876449504532996,0.06769825918762089
3,8317.0,1169.0,280.0,3856.0,0.8936279547790339,0.767363184079602,0.9323017408123792,9486.0,4136.0,8597.0,5025.0,0.9323017408123792,0.12323423993253216,0.8767657600674679,0.06769825918762089
4,8327.0,1159.0,284.0,3852.0,0.8940684187344002,0.7687088405507883,0.9313346228239845,9486.0,4136.0,8611.0,5011.0,0.9313346228239845,0.12218005481762598,0.877819945182374,0.06866537717601548
5,8338.0,1148.0,286.0,3850.0,0.8947291146674498,0.7703081232492998,0.9308510638297872,9486.0,4136.0,8624.0,4998.0,0.9308510638297872,0.12102045119122919,0.8789795488087708,0.06914893617021277
6,8357.0,1129.0,291.0,3845.0,0.8957568638966378,0.7730197024527543,0.929642166344294,9486.0,4136.0,8648.0,4974.0,0.929642166344294,0.11901749947290745,0.8809825005270926,0.070357833655706
7,8385.0,1101.0,299.0,3837.0,0.8972250770811921,0.7770352369380316,0.9277079303675049,9486.0,4136.0,8684.0,4938.0,0.9277079303675049,0.11606578115117014,0.8839342188488298,0.07229206963249517
8,8400.0,1086.0,305.0,3831.0,0.8978857730142417,0.7791336180597925,0.9262572533849129,9486.0,4136.0,8705.0,4917.0,0.9262572533849129,0.11448450347881088,0.8855154965211891,0.07374274661508703
9,8412.0,1074.0,307.0,3829.0,0.8986198796065189,0.7809504385070365,0.9257736943907157,9486.0,4136.0,8719.0,4903.0,0.9257736943907157,0.11321948134092347,0.8867805186590766,0.07422630560928434
10,8428.0,1058.0,311.0,3825.0,0.8995008075172515,0.783329920131067,0.9248065764023211,9486.0,4136.0,8739.0,4883.0,0.9248065764023211,0.11153278515707359,0.8884672148429265,0.07519342359767892
11,8441.0,1045.0,318.0,3818.0,0.8999412714726178,0.7851120707382274,0.9231141199226306,9486.0,4136.0,8759.0,4863.0,0.9231141199226306,0.11016234450769555,0.8898376554923044,0.07688588007736943
12,8445.0,1041.0,323.0,3813.0,0.8998678608133901,0.7855377008652658,0.9219052224371374,9486.0,4136.0,8768.0,4854.0,0.9219052224371374,0.10974067046173308,0.8902593295382669,0.07809477756286266
13,8461.0,1025.0,329.0,3807.0,0.9006019674056673,0.7878725165562914,0.9204545454545454,9486.0,4136.0,8790.0,4832.0,0.9204545454545454,0.1080539742778832,0.8919460257221168,0.07954545454545454
14,8465.0,1021.0,330.0,3806.0,0.9008221993833505,0.7884814584628134,0.9202127659574468,9486.0,4136.0,8795.0,4827.0,0.9202127659574468,0.10763230023192072,0.8923676997680793,0.0797872340425532
15,8475.0,1011.0,331.0,3805.0,0.9014828953163999,0.7900747508305648,0.9199709864603481,9486.0,4136.0,8806.0,4816.0,0.9199709864603481,0.10657811511701455,0.8934218848829855,0.08002901353965183
16,8479.0,1007.0,332.0,3804.0,0.9017031272940831,0.7906880066514238,0.9197292069632496,9486.0,4136.0,8811.0,4811.0,0.9197292069632496,0.10615644107105207,0.893843558928948,0.08027079303675048
17,8483.0,1003.0,333.0,3803.0,0.9019233592717663,0.7913025384935497,0.9194874274661509,9486.0,4136.0,8816.0,4806.0,0.9194874274661509,0.1057347670250896,0.8942652329749103,0.08051257253384914
18,8485.0,1001.0,333.0,3803.0,0.9020701805902217,0.791631973355537,0.9194874274661509,9486.0,4136.0,8818.0,4804.0,0.9194874274661509,0.10552393000210837,0.8944760699978916,0.08051257253384914
19,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
20,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
21,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
22,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
23,8485.0,1001.0,333.0,3803.0,0.9020701805902217,0.791631973355537,0.9194874274661509,9486.0,4136.0,8818.0,4804.0,0.9194874274661509,0.10552393000210837,0.8944760699978916,0.08051257253384914
24,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
25,8485.0,1001.0,334.0,3802.0,0.901996769930994,0.7915885904642932,0.9192456479690522,9486.0,4136.0,8819.0,4803.0,0.9192456479690522,0.10552393000210837,0.8944760699978916,0.08075435203094777
26,8478.0,1008.0,332.0,3804.0,0.9016297166348554,0.7905236907730673,0.9197292069632496,9486.0,4136.0,8810.0,4812.0,0.9197292069632496,0.1062618595825427,0.8937381404174574,0.08027079303675048
27,8475.0,1011.0,331.0,3805.0,0.9014828953163999,0.7900747508305648,0.9199709864603481,9486.0,4136.0,8806.0,4816.0,0.9199709864603481,0.10657811511701455,0.8934218848829855,0.08002901353965183
28,8473.0,1013.0,331.0,3805.0,0.9013360739979445,0.7897467828974678,0.9199709864603481,9486.0,4136.0,8804.0,4818.0,0.9199709864603481,0.10678895213999579,0.8932110478600043,0.08002901353965183
29,8465.0,1021.0,330.0,3806.0,0.9008221993833505,0.7884814584628134,0.9202127659574468,9486.0,4136.0,8795.0,4827.0,0.9202127659574468,0.10763230023192072,0.8923676997680793,0.0797872340425532
30,8462.0,1024.0,329.0,3807.0,0.9006753780648951,0.7880356033947423,0.9204545454545454,9486.0,4136.0,8791.0,4831.0,0.9204545454545454,0.10794855576639258,0.8920514442336074,0.07954545454545454
31,8451.0,1035.0,326.0,3810.0,0.9000880927910733,0.7863777089783281,0.9211798839458414,9486.0,4136.0,8777.0,4845.0,0.9211798839458414,0.10910815939278938,0.8908918406072106,0.0788201160541586
